Crime Description,City,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Severity Score
FIREARM OFFENSE,Mumbai,77,F,Other,Fire Accident,12,No,8
PUBLIC INTOXICATION,Chennai,71,M,Other,Other Crime,4,Yes,1
VEHICLE - STOLEN,Ludhiana,62,M,Other,Violent Crime,13,No,5
TRAFFIC VIOLATION,Ghaziabad,33,F,Other,Traffic Fatality,14,Yes,2
SHOPLIFTING,Delhi,70,F,Firearm,Other Crime,19,No,2
HOMICIDE,Hyderabad,73,F,Unknown,Other Crime,14,Yes,10
BURGLARY,Thane,29,F,Firearm,Other Crime,16,No,6
VEHICLE - STOLEN,Meerut,78,F,Poison,Violent Crime,16,No,5
IDENTITY THEFT,Delhi,13,M,Knife,Violent Crime,8,No,4
ROBBERY,Kolkata,25,M,Knife,Violent Crime,2,Yes,8
FIREARM OFFENSE,Hyderabad,47,F,Firearm,Fire Accident,6,No,8
HOMICIDE,Delhi,48,F,Explosives,Other Crime,3,No,10
IDENTITY THEFT,Bhopal,53,F,Firearm,Violent Crime,12,No,4
DRUG OFFENSE,Kanpur,52,F,Poison,Other Crime,1,No,6
DRUG OFFENSE,Nagpur,24,M,Blunt Object,Other Crime,11,Yes,6
VANDALISM,Surat,40,F,Knife,Other Crime,11,Yes,3
IDENTITY THEFT,Indore,72,F,Blunt Object,Violent Crime,3,Yes,4
ILLEGAL POSSESSION,Kalyan,72,F,Other,Other Crime,6,Yes,5
IDENTITY THEFT,Mumbai,29,F,Blunt Object,Violent Crime,8,Yes,4
DRUG OFFENSE,Visakhapatnam,41,F,Blunt Object,Other Crime,8,No,6
DRUG OFFENSE,Chennai,49,F,Poison,Other Crime,10,No,6
PUBLIC INTOXICATION,Lucknow,55,F,Firearm,Other Crime,3,No,1
ARSON,Hyderabad,11,M,Blunt Object,Fire Accident,3,No,9
ASSAULT,Patna,58,M,Blunt Object,Violent Crime,10,Yes,8
ROBBERY,Hyderabad,27,M,Unknown,Violent Crime,16,Yes,8
IDENTITY THEFT,Ahmedabad,61,F,Blunt Object,Violent Crime,3,Yes,4
BURGLARY,Kolkata,11,F,Unknown,Other Crime,9,Yes,6
FIREARM OFFENSE,Delhi,49,F,Explosives,Fire Accident,3,No,8
SHOPLIFTING,Delhi,64,M,Firearm,Other Crime,16,Yes,2
SHOPLIFTING,Nashik,40,M,Other,Other Crime,2,Yes,2
SEXUAL ASSAULT,Varanasi,72,F,Knife,Violent Crime,4,No,9
SEXUAL ASSAULT,Pune,17,M,Explosives,Violent Crime,5,No,9
SEXUAL ASSAULT,Nagpur,57,M,Knife,Violent Crime,6,Yes,9
SEXUAL ASSAULT,Ludhiana,67,M,Poison,Violent Crime,3,No,9
CYBERCRIME,Delhi,32,F,Other,Other Crime,13,Yes,5
ILLEGAL POSSESSION,Mumbai,77,M,Other,Other Crime,14,No,5
ASSAULT,Mumbai,37,F,Explosives,Violent Crime,18,No,8
FIREARM OFFENSE,Mumbai,46,F,Blunt Object,Fire Accident,3,Yes,8
DOMESTIC VIOLENCE,Delhi,75,M,Explosives,Violent Crime,2,No,8
KIDNAPPING,Bhopal,53,M,Blunt Object,Other Crime,18,No,9
ASSAULT,Kolkata,66,F,Blunt Object,Violent Crime,14,No,8
CYBERCRIME,Bangalore,11,M,Blunt Object,Other Crime,1,Yes,5
DOMESTIC VIOLENCE,Ghaziabad,61,M,Firearm,Violent Crime,18,Yes,8
ARSON,Agra,74,M,Knife,Fire Accident,2,Yes,9
ARSON,Surat,36,F,Blunt Object,Fire Accident,17,No,9
DOMESTIC VIOLENCE,Agra,48,F,Poison,Violent Crime,13,No,8
BURGLARY,Kanpur,51,F,Blunt Object,Other Crime,6,No,6
DRUG OFFENSE,Nagpur,50,F,Knife,Other Crime,17,Yes,6
EXTORTION,Delhi,32,M,Unknown,Other Crime,5,Yes,7
EXTORTION,Hyderabad,59,F,Unknown,Other Crime,18,Yes,7
ARSON,Chennai,24,F,Other,Fire Accident,19,Yes,9
PUBLIC INTOXICATION,Kolkata,52,F,Explosives,Other Crime,7,No,1
ILLEGAL POSSESSION,Delhi,73,M,Unknown,Other Crime,7,No,5
ROBBERY,Chennai,66,M,Blunt Object,Violent Crime,10,No,8
TRAFFIC VIOLATION,Thane,56,M,Firearm,Traffic Fatality,14,Yes,2
CYBERCRIME,Mumbai,78,F,Other,Other Crime,3,Yes,5
PUBLIC INTOXICATION,Hyderabad,45,M,Poison,Other Crime,1,No,1
DOMESTIC VIOLENCE,Delhi,55,M,Explosives,Violent Crime,2,No,8
ROBBERY,Bangalore,12,M,Blunt Object,Violent Crime,15,No,8
PUBLIC INTOXICATION,Bangalore,14,F,Firearm,Other Crime,9,No,1
DOMESTIC VIOLENCE,Bangalore,32,F,Poison,Violent Crime,15,No,8
COUNTERFEITING,Delhi,71,F,Explosives,Other Crime,15,No,4
TRAFFIC VIOLATION,Kolkata,35,F,Poison,Traffic Fatality,9,No,2
TRAFFIC VIOLATION,Mumbai,22,F,Explosives,Traffic Fatality,10,Yes,2
CYBERCRIME,Ghaziabad,24,F,Unknown,Other Crime,3,No,5
TRAFFIC VIOLATION,Kolkata,21,F,Knife,Traffic Fatality,8,Yes,2
FIREARM OFFENSE,Mumbai,47,M,Explosives,Fire Accident,7,No,8
SEXUAL ASSAULT,Mumbai,79,M,Other,Violent Crime,3,Yes,9
BURGLARY,Hyderabad,69,F,Explosives,Other Crime,10,Yes,6
KIDNAPPING,Mumbai,18,F,Blunt Object,Other Crime,16,Yes,9
IDENTITY THEFT,Chennai,10,M,Unknown,Violent Crime,19,No,4
IDENTITY THEFT,Mumbai,71,F,Other,Violent Crime,17,No,4
HOMICIDE,Bangalore,47,M,Knife,Other Crime,19,Yes,10
TRAFFIC VIOLATION,Kolkata,72,M,Unknown,Traffic Fatality,7,Yes,2
SEXUAL ASSAULT,Rajkot,10,F,Blunt Object,Violent Crime,3,Yes,9
ROBBERY,Lucknow,64,F,Poison,Violent Crime,4,No,8
TRAFFIC VIOLATION,Delhi,13,F,Knife,Traffic Fatality,18,No,2
COUNTERFEITING,Mumbai,61,F,Unknown,Other Crime,6,Yes,4
VEHICLE - STOLEN,Thane,54,F,Explosives,Violent Crime,6,No,5
TRAFFIC VIOLATION,Jaipur,49,M,Blunt Object,Traffic Fatality,14,Yes,2
VEHICLE - STOLEN,Hyderabad,70,F,Blunt Object,Violent Crime,18,No,5
ILLEGAL POSSESSION,Ghaziabad,44,F,Explosives,Other Crime,18,Yes,5
EXTORTION,Visakhapatnam,52,M,Explosives,Other Crime,14,Yes,7
VANDALISM,Rajkot,72,F,Blunt Object,Other Crime,4,Yes,3
VEHICLE - STOLEN,Delhi,18,M,Explosives,Violent Crime,10,Yes,5
ASSAULT,Bhopal,19,M,Poison,Violent Crime,5,No,8
SHOPLIFTING,Bangalore,21,F,Firearm,Other Crime,10,Yes,2
COUNTERFEITING,Kalyan,56,F,Firearm,Other Crime,16,No,4
DRUG OFFENSE,Indore,50,M,Knife,Other Crime,15,No,6
VEHICLE - STOLEN,Rajkot,46,F,Knife,Violent Crime,4,No,5
DOMESTIC VIOLENCE,Nagpur,42,F,Knife,Violent Crime,15,No,8
SEXUAL ASSAULT,Surat,40,F,Poison,Violent Crime,17,Yes,9
DOMESTIC VIOLENCE,Chennai,66,F,Knife,Violent Crime,6,Yes,8
PUBLIC INTOXICATION,Ahmedabad,34,M,Other,Other Crime,14,No,1
DRUG OFFENSE,Ahmedabad,35,M,Explosives,Other Crime,13,Yes,6
VEHICLE - STOLEN,Bangalore,19,F,Poison,Violent Crime,3,No,5
DRUG OFFENSE,Nagpur,29,F,Firearm,Other Crime,5,No,6
DOMESTIC VIOLENCE,Bangalore,11,M,Firearm,Violent Crime,18,Yes,8
FRAUD,Lucknow,57,M,Knife,Other Crime,4,No,4
PUBLIC INTOXICATION,Vasai,27,F,Poison,Other Crime,2,No,1
TRAFFIC VIOLATION,Lucknow,73,F,Firearm,Traffic Fatality,12,Yes,2
DOMESTIC VIOLENCE,Bangalore,62,M,Poison,Violent Crime,14,Yes,8
IDENTITY THEFT,Delhi,18,M,Firearm,Violent Crime,9,No,4
HOMICIDE,Bangalore,35,F,Blunt Object,Other Crime,16,Yes,10
ASSAULT,Mumbai,47,F,Firearm,Violent Crime,13,No,8
COUNTERFEITING,Hyderabad,51,M,Explosives,Other Crime,9,No,4
COUNTERFEITING,Delhi,10,M,Explosives,Other Crime,14,No,4
IDENTITY THEFT,Pune,21,F,Poison,Violent Crime,13,Yes,4
ASSAULT,Mumbai,43,M,Other,Violent Crime,15,No,8
HOMICIDE,Bangalore,44,F,Explosives,Other Crime,14,No,10
PUBLIC INTOXICATION,Srinagar,26,F,Unknown,Other Crime,6,Yes,1
HOMICIDE,Hyderabad,10,F,Unknown,Other Crime,17,No,10
VANDALISM,Ahmedabad,17,F,Poison,Other Crime,11,No,3
FRAUD,Delhi,62,F,Other,Other Crime,16,No,4
HOMICIDE,Ludhiana,33,F,Blunt Object,Other Crime,19,No,10
SHOPLIFTING,Mumbai,27,F,Firearm,Other Crime,7,No,2
EXTORTION,Chennai,49,M,Other,Other Crime,4,Yes,7
ARSON,Jaipur,47,F,Knife,Fire Accident,8,No,9
CYBERCRIME,Nagpur,20,F,Knife,Other Crime,11,Yes,5
ROBBERY,Ludhiana,10,F,Poison,Violent Crime,6,Yes,8
FRAUD,Rajkot,30,F,Poison,Other Crime,2,No,4
KIDNAPPING,Kolkata,17,F,Blunt Object,Other Crime,3,Yes,9
DOMESTIC VIOLENCE,Meerut,41,F,Knife,Violent Crime,4,Yes,8
BURGLARY,Bangalore,56,F,Other,Other Crime,14,Yes,6
CYBERCRIME,Thane,41,F,Knife,Other Crime,4,No,5
DOMESTIC VIOLENCE,Delhi,18,M,Firearm,Violent Crime,17,Yes,8
FIREARM OFFENSE,Mumbai,59,F,Explosives,Fire Accident,7,No,8
DRUG OFFENSE,Thane,79,M,Explosives,Other Crime,3,Yes,6
ILLEGAL POSSESSION,Pune,73,F,Unknown,Other Crime,7,No,5
VEHICLE - STOLEN,Nashik,42,F,Other,Violent Crime,18,No,5
TRAFFIC VIOLATION,Kanpur,20,F,Unknown,Traffic Fatality,4,No,2
ROBBERY,Kolkata,72,M,Knife,Violent Crime,13,Yes,8
DRUG OFFENSE,Ahmedabad,15,M,Poison,Other Crime,12,No,6
ASSAULT,Mumbai,29,F,Firearm,Violent Crime,7,Yes,8
EXTORTION,Hyderabad,24,M,Explosives,Other Crime,8,Yes,7
COUNTERFEITING,Ahmedabad,76,F,Firearm,Other Crime,11,Yes,4
FRAUD,Ahmedabad,61,M,Poison,Other Crime,15,No,4
TRAFFIC VIOLATION,Nagpur,29,F,Explosives,Traffic Fatality,14,No,2
FRAUD,Delhi,26,M,Poison,Other Crime,15,No,4
ARSON,Delhi,46,F,Unknown,Fire Accident,16,No,9
HOMICIDE,Mumbai,57,F,Poison,Other Crime,3,Yes,10
COUNTERFEITING,Chennai,30,F,Unknown,Other Crime,15,Yes,4
PUBLIC INTOXICATION,Bangalore,35,F,Knife,Other Crime,16,Yes,1
VEHICLE - STOLEN,Kalyan,31,F,Knife,Violent Crime,7,No,5
FRAUD,Bhopal,79,F,Poison,Other Crime,8,Yes,4
ARSON,Pune,59,M,Firearm,Fire Accident,18,No,9
ASSAULT,Bangalore,78,F,Unknown,Violent Crime,5,No,8
COUNTERFEITING,Jaipur,60,F,Poison,Other Crime,15,No,4
ILLEGAL POSSESSION,Delhi,52,F,Unknown,Other Crime,1,Yes,5
HOMICIDE,Mumbai,11,M,Firearm,Other Crime,13,Yes,10
VANDALISM,Rajkot,57,F,Blunt Object,Other Crime,18,Yes,3
BURGLARY,Chennai,28,F,Blunt Object,Other Crime,16,No,6
FIREARM OFFENSE,Delhi,68,F,Unknown,Fire Accident,9,Yes,8
BURGLARY,Mumbai,35,F,Blunt Object,Other Crime,2,Yes,6
ASSAULT,Chennai,13,F,Knife,Violent Crime,13,No,8
SEXUAL ASSAULT,Lucknow,27,M,Firearm,Violent Crime,10,Yes,9
COUNTERFEITING,Jaipur,14,F,Poison,Other Crime,7,No,4
TRAFFIC VIOLATION,Jaipur,22,M,Other,Traffic Fatality,9,No,2
VEHICLE - STOLEN,Bangalore,14,M,Other,Violent Crime,14,Yes,5
ROBBERY,Delhi,77,M,Explosives,Violent Crime,19,Yes,8
BURGLARY,Patna,37,F,Unknown,Other Crime,8,Yes,6
PUBLIC INTOXICATION,Delhi,39,M,Unknown,Other Crime,3,No,1
ASSAULT,Kanpur,38,F,Unknown,Violent Crime,19,Yes,8
DRUG OFFENSE,Ahmedabad,73,F,Firearm,Other Crime,15,Yes,6
CYBERCRIME,Thane,29,M,Other,Other Crime,2,Yes,5
ASSAULT,Visakhapatnam,59,F,Blunt Object,Violent Crime,12,Yes,8
IDENTITY THEFT,Jaipur,47,F,Other,Violent Crime,11,No,4
VEHICLE - STOLEN,Mumbai,52,M,Explosives,Violent Crime,16,Yes,5
DOMESTIC VIOLENCE,Pune,60,M,Firearm,Violent Crime,6,No,8
DRUG OFFENSE,Vasai,37,F,Unknown,Other Crime,10,Yes,6
BURGLARY,Hyderabad,71,M,Poison,Other Crime,4,Yes,6
SEXUAL ASSAULT,Indore,43,F,Unknown,Violent Crime,1,No,9
FIREARM OFFENSE,Mumbai,40,F,Explosives,Fire Accident,1,No,8
FIREARM OFFENSE,Hyderabad,61,F,Explosives,Fire Accident,17,No,8
FIREARM OFFENSE,Lucknow,70,F,Other,Fire Accident,12,Yes,8
CYBERCRIME,Patna,79,M,Firearm,Other Crime,17,Yes,5
DOMESTIC VIOLENCE,Bangalore,74,F,Knife,Violent Crime,5,No,8
COUNTERFEITING,Hyderabad,53,M,Unknown,Other Crime,4,No,4
FIREARM OFFENSE,Bangalore,72,F,Other,Fire Accident,11,No,8
COUNTERFEITING,Delhi,51,F,Blunt Object,Other Crime,8,No,4
HOMICIDE,Nagpur,74,M,Firearm,Other Crime,8,Yes,10
BURGLARY,Srinagar,61,M,Poison,Other Crime,1,No,6
TRAFFIC VIOLATION,Mumbai,12,M,Explosives,Traffic Fatality,10,Yes,2
IDENTITY THEFT,Visakhapatnam,31,F,Knife,Violent Crime,6,No,4
ASSAULT,Surat,29,M,Blunt Object,Violent Crime,14,Yes,8
KIDNAPPING,Ahmedabad,49,M,Unknown,Other Crime,5,Yes,9
VEHICLE - STOLEN,Mumbai,38,F,Poison,Violent Crime,18,Yes,5
EXTORTION,Jaipur,18,F,Explosives,Other Crime,1,No,7
DOMESTIC VIOLENCE,Chennai,79,F,Unknown,Violent Crime,7,No,8
FRAUD,Jaipur,52,F,Knife,Other Crime,9,Yes,4
ARSON,Pune,45,M,Knife,Fire Accident,2,No,9
TRAFFIC VIOLATION,Ghaziabad,18,F,Poison,Traffic Fatality,14,No,2
SEXUAL ASSAULT,Lucknow,14,M,Explosives,Violent Crime,3,No,9
FRAUD,Mumbai,51,M,Firearm,Other Crime,14,No,4
IDENTITY THEFT,Srinagar,70,F,Unknown,Violent Crime,6,Yes,4
VANDALISM,Delhi,56,M,Knife,Other Crime,6,No,3
ROBBERY,Delhi,39,F,Poison,Violent Crime,2,Yes,8
IDENTITY THEFT,Ludhiana,66,F,Blunt Object,Violent Crime,10,No,4
ROBBERY,Mumbai,78,F,Blunt Object,Violent Crime,1,Yes,8
PUBLIC INTOXICATION,Mumbai,18,F,Firearm,Other Crime,15,No,1
SEXUAL ASSAULT,Mumbai,77,F,Poison,Violent Crime,12,Yes,9
VANDALISM,Chennai,73,M,Poison,Other Crime,17,Yes,3
CYBERCRIME,Agra,25,M,Firearm,Other Crime,18,Yes,5
DRUG OFFENSE,Visakhapatnam,34,M,Unknown,Other Crime,14,No,6
KIDNAPPING,Visakhapatnam,73,M,Firearm,Other Crime,10,No,9
TRAFFIC VIOLATION,Hyderabad,64,F,Poison,Traffic Fatality,15,Yes,2
KIDNAPPING,Hyderabad,72,M,Poison,Other Crime,15,No,9
KIDNAPPING,Lucknow,55,M,Blunt Object,Other Crime,3,Yes,9
DRUG OFFENSE,Ludhiana,27,F,Explosives,Other Crime,4,Yes,6
COUNTERFEITING,Bangalore,55,F,Other,Other Crime,18,No,4
DRUG OFFENSE,Surat,47,F,Poison,Other Crime,4,Yes,6
TRAFFIC VIOLATION,Kolkata,30,F,Unknown,Traffic Fatality,11,Yes,2
VANDALISM,Ahmedabad,75,F,Blunt Object,Other Crime,1,No,3
CYBERCRIME,Kolkata,17,F,Blunt Object,Other Crime,2,Yes,5
IDENTITY THEFT,Jaipur,49,F,Blunt Object,Violent Crime,14,Yes,4
SEXUAL ASSAULT,Pune,43,F,Firearm,Violent Crime,14,Yes,9
KIDNAPPING,Bangalore,50,M,Blunt Object,Other Crime,14,No,9
BURGLARY,Pune,22,F,Poison,Other Crime,3,No,6
BURGLARY,Kolkata,48,F,Firearm,Other Crime,3,No,6
FRAUD,Delhi,12,M,Firearm,Other Crime,17,No,4
VANDALISM,Nagpur,40,M,Firearm,Other Crime,11,Yes,3
KIDNAPPING,Delhi,29,M,Explosives,Other Crime,9,Yes,9
DOMESTIC VIOLENCE,Lucknow,77,F,Explosives,Violent Crime,2,Yes,8
EXTORTION,Pune,52,F,Blunt Object,Other Crime,2,Yes,7
HOMICIDE,Mumbai,35,F,Knife,Other Crime,7,No,10
DOMESTIC VIOLENCE,Lucknow,77,F,Blunt Object,Violent Crime,3,Yes,8
DRUG OFFENSE,Patna,74,F,Firearm,Other Crime,2,Yes,6
FRAUD,Mumbai,71,F,Other,Other Crime,9,No,4
VANDALISM,Pune,44,F,Unknown,Other Crime,17,Yes,3
CYBERCRIME,Pune,77,F,Knife,Other Crime,1,Yes,5
ROBBERY,Hyderabad,33,F,Blunt Object,Violent Crime,15,Yes,8
DOMESTIC VIOLENCE,Kanpur,49,M,Other,Violent Crime,19,Yes,8
FIREARM OFFENSE,Hyderabad,65,M,Firearm,Fire Accident,8,No,8
BURGLARY,Delhi,76,F,Other,Other Crime,12,No,6
TRAFFIC VIOLATION,Bangalore,12,F,Blunt Object,Traffic Fatality,10,Yes,2
HOMICIDE,Ahmedabad,26,M,Blunt Object,Other Crime,2,Yes,10
VANDALISM,Delhi,20,M,Firearm,Other Crime,8,No,3
DOMESTIC VIOLENCE,Bangalore,60,M,Other,Violent Crime,5,No,8
VANDALISM,Pune,63,F,Firearm,Other Crime,15,No,3
EXTORTION,Kanpur,61,F,Poison,Other Crime,4,No,7
PUBLIC INTOXICATION,Rajkot,45,F,Other,Other Crime,8,No,1
TRAFFIC VIOLATION,Mumbai,64,M,Explosives,Traffic Fatality,19,Yes,2
ARSON,Bangalore,22,F,Poison,Fire Accident,14,No,9
EXTORTION,Delhi,71,M,Unknown,Other Crime,3,No,7
ARSON,Mumbai,64,F,Unknown,Fire Accident,2,Yes,9
TRAFFIC VIOLATION,Pune,79,M,Firearm,Traffic Fatality,8,Yes,2
FIREARM OFFENSE,Vasai,37,M,Other,Fire Accident,1,No,8
ASSAULT,Delhi,56,F,Unknown,Violent Crime,12,No,8
VEHICLE - STOLEN,Delhi,18,F,Firearm,Violent Crime,2,Yes,5
FRAUD,Ahmedabad,41,F,Explosives,Other Crime,9,No,4
SHOPLIFTING,Delhi,40,F,Blunt Object,Other Crime,9,No,2
ILLEGAL POSSESSION,Kolkata,49,F,Blunt Object,Other Crime,3,Yes,5
SEXUAL ASSAULT,Chennai,39,M,Unknown,Violent Crime,18,Yes,9
ILLEGAL POSSESSION,Jaipur,70,M,Knife,Other Crime,12,Yes,5
HOMICIDE,Pune,65,F,Unknown,Other Crime,12,Yes,10
VANDALISM,Hyderabad,12,F,Unknown,Other Crime,7,Yes,3
HOMICIDE,Chennai,69,F,Poison,Other Crime,4,No,10
VANDALISM,Rajkot,60,M,Explosives,Other Crime,3,Yes,3
VEHICLE - STOLEN,Mumbai,45,F,Poison,Violent Crime,5,No,5
HOMICIDE,Pune,51,M,Blunt Object,Other Crime,10,No,10
VEHICLE - STOLEN,Delhi,11,F,Unknown,Violent Crime,2,Yes,5
ARSON,Kolkata,57,F,Blunt Object,Fire Accident,15,Yes,9
VANDALISM,Varanasi,72,F,Firearm,Other Crime,15,Yes,3
FIREARM OFFENSE,Chennai,75,F,Firearm,Fire Accident,8,Yes,8
ARSON,Ahmedabad,21,F,Explosives,Fire Accident,14,Yes,9
ASSAULT,Chennai,64,F,Blunt Object,Violent Crime,6,Yes,8
VANDALISM,Mumbai,56,F,Unknown,Other Crime,17,Yes,3
FIREARM OFFENSE,Hyderabad,31,F,Blunt Object,Fire Accident,19,No,8
SHOPLIFTING,Indore,78,M,Explosives,Other Crime,15,Yes,2
SEXUAL ASSAULT,Lucknow,42,F,Other,Violent Crime,17,Yes,9
ARSON,Hyderabad,60,F,Firearm,Fire Accident,13,Yes,9
IDENTITY THEFT,Mumbai,13,F,Firearm,Violent Crime,18,No,4
COUNTERFEITING,Visakhapatnam,49,F,Poison,Other Crime,12,Yes,4
SEXUAL ASSAULT,Mumbai,37,F,Knife,Violent Crime,5,No,9
ARSON,Mumbai,15,F,Blunt Object,Fire Accident,13,Yes,9
ARSON,Delhi,26,F,Blunt Object,Fire Accident,18,No,9
DRUG OFFENSE,Patna,35,M,Unknown,Other Crime,3,Yes,6
KIDNAPPING,Nagpur,21,F,Explosives,Other Crime,2,Yes,9
VEHICLE - STOLEN,Kolkata,35,M,Poison,Violent Crime,4,No,5
ROBBERY,Mumbai,78,F,Unknown,Violent Crime,16,Yes,8
FRAUD,Delhi,54,M,Other,Other Crime,18,Yes,4
BURGLARY,Nagpur,55,F,Firearm,Other Crime,7,No,6
ILLEGAL POSSESSION,Ahmedabad,40,F,Firearm,Other Crime,2,No,5
FRAUD,Nagpur,47,F,Blunt Object,Other Crime,13,Yes,4
ARSON,Pune,53,M,Unknown,Fire Accident,9,Yes,9
SHOPLIFTING,Mumbai,11,M,Other,Other Crime,16,No,2
VEHICLE - STOLEN,Bhopal,43,M,Firearm,Violent Crime,8,Yes,5
ARSON,Bangalore,16,M,Knife,Fire Accident,7,Yes,9
SHOPLIFTING,Bangalore,64,F,Explosives,Other Crime,16,Yes,2
KIDNAPPING,Lucknow,69,M,Explosives,Other Crime,6,Yes,9
COUNTERFEITING,Ahmedabad,22,F,Other,Other Crime,13,No,4
HOMICIDE,Meerut,15,F,Explosives,Other Crime,12,No,10
BURGLARY,Bangalore,29,M,Firearm,Other Crime,3,Yes,6
EXTORTION,Kolkata,52,F,Explosives,Other Crime,9,Yes,7
HOMICIDE,Hyderabad,53,F,Other,Other Crime,2,No,10
KIDNAPPING,Chennai,14,F,Unknown,Other Crime,11,Yes,9
FRAUD,Bangalore,47,F,Poison,Other Crime,8,No,4
FIREARM OFFENSE,Bangalore,43,M,Unknown,Fire Accident,16,No,8
FIREARM OFFENSE,Delhi,43,M,Knife,Fire Accident,1,No,8
FIREARM OFFENSE,Kalyan,30,F,Explosives,Fire Accident,11,No,8
TRAFFIC VIOLATION,Chennai,63,F,Poison,Traffic Fatality,6,Yes,2
TRAFFIC VIOLATION,Bhopal,72,M,Other,Traffic Fatality,9,Yes,2
DRUG OFFENSE,Pune,53,M,Poison,Other Crime,6,Yes,6
CYBERCRIME,Lucknow,77,F,Firearm,Other Crime,9,No,5
FIREARM OFFENSE,Chennai,35,M,Unknown,Fire Accident,1,Yes,8
IDENTITY THEFT,Delhi,22,M,Other,Violent Crime,19,Yes,4
FIREARM OFFENSE,Kalyan,79,M,Explosives,Fire Accident,11,Yes,8
FIREARM OFFENSE,Hyderabad,78,F,Firearm,Fire Accident,15,No,8
COUNTERFEITING,Mumbai,54,F,Other,Other Crime,9,Yes,4
SHOPLIFTING,Hyderabad,23,F,Knife,Other Crime,19,Yes,2
VANDALISM,Lucknow,57,F,Unknown,Other Crime,2,Yes,3
VANDALISM,Hyderabad,70,F,Knife,Other Crime,19,Yes,3
KIDNAPPING,Nagpur,45,F,Unknown,Other Crime,15,Yes,9
CYBERCRIME,Hyderabad,52,F,Blunt Object,Other Crime,2,Yes,5
FIREARM OFFENSE,Delhi,42,F,Firearm,Fire Accident,19,Yes,8
COUNTERFEITING,Mumbai,45,F,Explosives,Other Crime,12,Yes,4
DRUG OFFENSE,Ludhiana,30,F,Other,Other Crime,15,Yes,6
DRUG OFFENSE,Delhi,45,F,Blunt Object,Other Crime,15,No,6
CYBERCRIME,Chennai,36,M,Blunt Object,Other Crime,11,Yes,5
IDENTITY THEFT,Mumbai,71,F,Poison,Violent Crime,8,No,4
IDENTITY THEFT,Kanpur,73,F,Blunt Object,Violent Crime,18,No,4
FRAUD,Delhi,61,F,Explosives,Other Crime,19,Yes,4
PUBLIC INTOXICATION,Surat,30,F,Explosives,Other Crime,1,Yes,1
KIDNAPPING,Delhi,18,F,Explosives,Other Crime,10,No,9
SHOPLIFTING,Mumbai,39,F,Other,Other Crime,15,No,2
DOMESTIC VIOLENCE,Vasai,53,F,Knife,Violent Crime,7,No,8
PUBLIC INTOXICATION,Hyderabad,51,F,Poison,Other Crime,1,No,1
VEHICLE - STOLEN,Bhopal,76,M,Unknown,Violent Crime,12,Yes,5
CYBERCRIME,Delhi,14,F,Unknown,Other Crime,4,No,5
DRUG OFFENSE,Nashik,59,F,Explosives,Other Crime,16,Yes,6
ROBBERY,Kanpur,23,M,Unknown,Violent Crime,18,No,8
COUNTERFEITING,Mumbai,46,M,Unknown,Other Crime,1,No,4
SHOPLIFTING,Delhi,58,F,Other,Other Crime,2,Yes,2
DOMESTIC VIOLENCE,Kolkata,72,F,Explosives,Violent Crime,8,No,8
IDENTITY THEFT,Ahmedabad,56,F,Poison,Violent Crime,11,Yes,4
PUBLIC INTOXICATION,Delhi,18,F,Unknown,Other Crime,10,No,1
SHOPLIFTING,Ludhiana,47,F,Explosives,Other Crime,18,No,2
TRAFFIC VIOLATION,Chennai,58,F,Explosives,Traffic Fatality,16,No,2
ASSAULT,Kanpur,32,F,Poison,Violent Crime,18,No,8
BURGLARY,Delhi,41,M,Unknown,Other Crime,3,Yes,6
EXTORTION,Kalyan,71,M,Firearm,Other Crime,1,Yes,7
VANDALISM,Indore,73,F,Explosives,Other Crime,19,No,3
HOMICIDE,Ludhiana,69,F,Explosives,Other Crime,10,Yes,10
FIREARM OFFENSE,Patna,49,F,Knife,Fire Accident,2,Yes,8
COUNTERFEITING,Delhi,42,F,Other,Other Crime,7,No,4
KIDNAPPING,Chennai,40,F,Poison,Other Crime,17,Yes,9
DOMESTIC VIOLENCE,Mumbai,22,F,Other,Violent Crime,9,No,8
DOMESTIC VIOLENCE,Kolkata,23,M,Knife,Violent Crime,9,No,8
FRAUD,Vasai,61,M,Other,Other Crime,6,Yes,4
COUNTERFEITING,Lucknow,26,M,Blunt Object,Other Crime,10,Yes,4
KIDNAPPING,Pune,52,F,Blunt Object,Other Crime,10,Yes,9
ARSON,Delhi,10,F,Explosives,Fire Accident,1,No,9
EXTORTION,Bhopal,74,F,Other,Other Crime,4,No,7
TRAFFIC VIOLATION,Ghaziabad,11,M,Other,Traffic Fatality,12,No,2
PUBLIC INTOXICATION,Hyderabad,12,F,Other,Other Crime,16,Yes,1
DRUG OFFENSE,Bangalore,23,M,Firearm,Other Crime,6,No,6
PUBLIC INTOXICATION,Nagpur,75,F,Other,Other Crime,10,No,1
DRUG OFFENSE,Hyderabad,47,F,Knife,Other Crime,10,Yes,6
KIDNAPPING,Chennai,79,F,Poison,Other Crime,6,No,9
COUNTERFEITING,Bangalore,21,F,Knife,Other Crime,9,Yes,4
FRAUD,Delhi,29,M,Other,Other Crime,13,No,4
ARSON,Hyderabad,47,F,Explosives,Fire Accident,1,No,9
ARSON,Delhi,74,M,Unknown,Fire Accident,12,No,9
IDENTITY THEFT,Ludhiana,73,F,Explosives,Violent Crime,2,No,4
